timestamp,phase,gpu_index,memory_used_mb,memory_total_mb,utilization_pct
1784796340.868869,startup,0,858.0,65536.0,0.0
1784796340.868869,startup,1,858.0,65536.0,0.0
1784796340.868869,startup,2,858.0,65536.0,0.0
1784796340.868869,startup,3,858.0,65536.0,0.0
1784796340.868869,startup,4,858.0,65536.0,0.0
1784796340.868869,startup,5,858.0,65536.0,0.0
1784796340.868869,startup,6,858.0,65536.0,0.0
1784796340.868869,startup,7,858.0,65536.0,0.0
1784796342.1350644,startup,0,858.0,65536.0,0.0
1784796342.1350644,startup,1,858.0,65536.0,0.0
1784796342.1350644,startup,2,858.0,65536.0,0.0
1784796342.1350644,startup,3,858.0,65536.0,0.0
1784796342.1350644,startup,4,858.0,65536.0,0.0
1784796342.1350644,startup,5,858.0,65536.0,0.0
1784796342.1350644,startup,6,858.0,65536.0,0.0
1784796342.1350644,startup,7,858.0,65536.0,0.0
1784796343.4201233,startup,0,858.0,65536.0,0.0
1784796343.4201233,startup,1,858.0,65536.0,0.0
1784796343.4201233,startup,2,858.0,65536.0,0.0
1784796343.4201233,startup,3,858.0,65536.0,0.0
1784796343.4201233,startup,4,858.0,65536.0,0.0
1784796343.4201233,startup,5,858.0,65536.0,0.0
1784796343.4201233,startup,6,858.0,65536.0,0.0
1784796343.4201233,startup,7,859.0,65536.0,0.0
1784796344.6913488,startup,0,859.0,65536.0,0.0
1784796344.6913488,startup,1,859.0,65536.0,0.0
1784796344.6913488,startup,2,859.0,65536.0,0.0
1784796344.6913488,startup,3,859.0,65536.0,0.0
1784796344.6913488,startup,4,859.0,65536.0,0.0
1784796344.6913488,startup,5,859.0,65536.0,0.0
1784796344.6913488,startup,6,859.0,65536.0,0.0
1784796344.6913488,startup,7,859.0,65536.0,0.0
1784796345.976143,startup,0,859.0,65536.0,0.0
1784796345.976143,startup,1,859.0,65536.0,0.0
1784796345.976143,startup,2,859.0,65536.0,0.0
1784796345.976143,startup,3,859.0,65536.0,0.0
1784796345.976143,startup,4,859.0,65536.0,0.0
1784796345.976143,startup,5,859.0,65536.0,0.0
1784796345.976143,startup,6,859.0,65536.0,0.0
1784796345.976143,startup,7,859.0,65536.0,0.0
1784796347.2591867,startup,0,859.0,65536.0,0.0
1784796347.2591867,startup,1,859.0,65536.0,0.0
1784796347.2591867,startup,2,859.0,65536.0,0.0
1784796347.2591867,startup,3,859.0,65536.0,0.0
1784796347.2591867,startup,4,859.0,65536.0,0.0
1784796347.2591867,startup,5,859.0,65536.0,0.0
1784796347.2591867,startup,6,859.0,65536.0,0.0
1784796347.2591867,startup,7,859.0,65536.0,0.0
1784796348.5457537,startup,0,859.0,65536.0,0.0
1784796348.5457537,startup,1,859.0,65536.0,0.0
1784796348.5457537,startup,2,859.0,65536.0,0.0
1784796348.5457537,startup,3,859.0,65536.0,0.0
1784796348.5457537,startup,4,859.0,65536.0,0.0
1784796348.5457537,startup,5,859.0,65536.0,0.0
1784796348.5457537,startup,6,859.0,65536.0,0.0
1784796348.5457537,startup,7,859.0,65536.0,0.0
1784796349.8171408,startup,0,859.0,65536.0,0.0
1784796349.8171408,startup,1,859.0,65536.0,0.0
1784796349.8171408,startup,2,859.0,65536.0,0.0
1784796349.8171408,startup,3,859.0,65536.0,0.0
1784796349.8171408,startup,4,859.0,65536.0,0.0
1784796349.8171408,startup,5,859.0,65536.0,0.0
1784796349.8171408,startup,6,859.0,65536.0,0.0
1784796349.8171408,startup,7,859.0,65536.0,0.0
1784796351.1009018,startup,0,859.0,65536.0,0.0
1784796351.1009018,startup,1,859.0,65536.0,0.0
1784796351.1009018,startup,2,859.0,65536.0,0.0
1784796351.1009018,startup,3,859.0,65536.0,0.0
1784796351.1009018,startup,4,859.0,65536.0,0.0
1784796351.1009018,startup,5,859.0,65536.0,0.0
1784796351.1009018,startup,6,859.0,65536.0,0.0
1784796351.1009018,startup,7,859.0,65536.0,0.0
1784796352.3844292,startup,0,859.0,65536.0,0.0
1784796352.3844292,startup,1,859.0,65536.0,0.0
1784796352.3844292,startup,2,859.0,65536.0,0.0
1784796352.3844292,startup,3,859.0,65536.0,0.0
1784796352.3844292,startup,4,859.0,65536.0,0.0
1784796352.3844292,startup,5,859.0,65536.0,0.0
1784796352.3844292,startup,6,859.0,65536.0,0.0
1784796352.3844292,startup,7,859.0,65536.0,0.0
1784796353.6716626,startup,0,859.0,65536.0,0.0
1784796353.6716626,startup,1,859.0,65536.0,0.0
1784796353.6716626,startup,2,859.0,65536.0,0.0
1784796353.6716626,startup,3,859.0,65536.0,0.0
1784796353.6716626,startup,4,859.0,65536.0,0.0
1784796353.6716626,startup,5,859.0,65536.0,0.0
1784796353.6716626,startup,6,859.0,65536.0,0.0
1784796353.6716626,startup,7,859.0,65536.0,0.0
1784796354.9572706,startup,0,859.0,65536.0,0.0
1784796354.9572706,startup,1,859.0,65536.0,0.0
1784796354.9572706,startup,2,859.0,65536.0,0.0
1784796354.9572706,startup,3,859.0,65536.0,0.0
1784796354.9572706,startup,4,859.0,65536.0,0.0
1784796354.9572706,startup,5,859.0,65536.0,0.0
1784796354.9572706,startup,6,859.0,65536.0,0.0
1784796354.9572706,startup,7,859.0,65536.0,0.0
1784796356.243422,startup,0,859.0,65536.0,0.0
1784796356.243422,startup,1,859.0,65536.0,0.0
1784796356.243422,startup,2,859.0,65536.0,0.0
1784796356.243422,startup,3,859.0,65536.0,0.0
1784796356.243422,startup,4,859.0,65536.0,0.0
1784796356.243422,startup,5,859.0,65536.0,0.0
1784796356.243422,startup,6,859.0,65536.0,0.0
1784796356.243422,startup,7,859.0,65536.0,0.0
1784796357.5283191,startup,0,859.0,65536.0,0.0
1784796357.5283191,startup,1,859.0,65536.0,0.0
1784796357.5283191,startup,2,859.0,65536.0,0.0
1784796357.5283191,startup,3,859.0,65536.0,0.0
1784796357.5283191,startup,4,859.0,65536.0,0.0
1784796357.5283191,startup,5,859.0,65536.0,0.0
1784796357.5283191,startup,6,859.0,65536.0,0.0
1784796357.5283191,startup,7,859.0,65536.0,0.0
1784796358.8138134,startup,0,859.0,65536.0,0.0
1784796358.8138134,startup,1,859.0,65536.0,0.0
1784796358.8138134,startup,2,859.0,65536.0,0.0
1784796358.8138134,startup,3,859.0,65536.0,0.0
1784796358.8138134,startup,4,859.0,65536.0,0.0
1784796358.8138134,startup,5,859.0,65536.0,0.0
1784796358.8138134,startup,6,859.0,65536.0,0.0
1784796358.8138134,startup,7,859.0,65536.0,0.0
1784796360.080671,startup,0,859.0,65536.0,0.0
1784796360.080671,startup,1,859.0,65536.0,0.0
1784796360.080671,startup,2,859.0,65536.0,0.0
1784796360.080671,startup,3,859.0,65536.0,0.0
1784796360.080671,startup,4,859.0,65536.0,0.0
1784796360.080671,startup,5,859.0,65536.0,0.0
1784796360.080671,startup,6,859.0,65536.0,0.0
1784796360.080671,startup,7,859.0,65536.0,0.0
1784796361.390853,startup,0,859.0,65536.0,0.0
1784796361.390853,startup,1,859.0,65536.0,0.0
1784796361.390853,startup,2,859.0,65536.0,0.0
1784796361.390853,startup,3,859.0,65536.0,0.0
1784796361.390853,startup,4,859.0,65536.0,0.0
1784796361.390853,startup,5,859.0,65536.0,0.0
1784796361.390853,startup,6,859.0,65536.0,0.0
1784796361.390853,startup,7,859.0,65536.0,0.0
1784796363.0550892,startup,0,859.0,65536.0,0.0
1784796363.0550892,startup,1,859.0,65536.0,0.0
1784796363.0550892,startup,2,859.0,65536.0,0.0
1784796363.0550892,startup,3,859.0,65536.0,0.0
1784796363.0550892,startup,4,859.0,65536.0,0.0
1784796363.0550892,startup,5,859.0,65536.0,0.0
1784796363.0550892,startup,6,859.0,65536.0,0.0
1784796363.0550892,startup,7,859.0,65536.0,0.0
1784796364.338198,startup,0,859.0,65536.0,0.0
1784796364.338198,startup,1,859.0,65536.0,0.0
1784796364.338198,startup,2,859.0,65536.0,0.0
1784796364.338198,startup,3,859.0,65536.0,0.0
1784796364.338198,startup,4,859.0,65536.0,0.0
1784796364.338198,startup,5,859.0,65536.0,0.0
1784796364.338198,startup,6,859.0,65536.0,0.0
1784796364.338198,startup,7,859.0,65536.0,0.0
1784796365.6222847,startup,0,859.0,65536.0,0.0
1784796365.6222847,startup,1,859.0,65536.0,0.0
1784796365.6222847,startup,2,859.0,65536.0,0.0
1784796365.6222847,startup,3,859.0,65536.0,0.0
1784796365.6222847,startup,4,859.0,65536.0,0.0
1784796365.6222847,startup,5,859.0,65536.0,0.0
1784796365.6222847,startup,6,859.0,65536.0,0.0
1784796365.6222847,startup,7,859.0,65536.0,0.0
1784796366.8678088,startup,0,859.0,65536.0,0.0
1784796366.8678088,startup,1,859.0,65536.0,0.0
1784796366.8678088,startup,2,859.0,65536.0,0.0
1784796366.8678088,startup,3,859.0,65536.0,0.0
1784796366.8678088,startup,4,859.0,65536.0,0.0
1784796366.8678088,startup,5,859.0,65536.0,0.0
1784796366.8678088,startup,6,859.0,65536.0,0.0
1784796366.8678088,startup,7,859.0,65536.0,0.0
1784796368.151948,startup,0,859.0,65536.0,0.0
1784796368.151948,startup,1,859.0,65536.0,0.0
1784796368.151948,startup,2,859.0,65536.0,0.0
1784796368.151948,startup,3,859.0,65536.0,0.0
1784796368.151948,startup,4,859.0,65536.0,0.0
1784796368.151948,startup,5,859.0,65536.0,0.0
1784796368.151948,startup,6,859.0,65536.0,0.0
1784796368.151948,startup,7,859.0,65536.0,0.0
1784796369.434262,startup,0,859.0,65536.0,0.0
1784796369.434262,startup,1,859.0,65536.0,0.0
1784796369.434262,startup,2,859.0,65536.0,0.0
1784796369.434262,startup,3,859.0,65536.0,0.0
1784796369.434262,startup,4,859.0,65536.0,0.0
1784796369.434262,startup,5,859.0,65536.0,0.0
1784796369.434262,startup,6,859.0,65536.0,0.0
1784796369.434262,startup,7,859.0,65536.0,0.0
1784796370.7024574,startup,0,859.0,65536.0,0.0
1784796370.7024574,startup,1,859.0,65536.0,0.0
1784796370.7024574,startup,2,859.0,65536.0,0.0
1784796370.7024574,startup,3,859.0,65536.0,0.0
1784796370.7024574,startup,4,859.0,65536.0,0.0
1784796370.7024574,startup,5,859.0,65536.0,0.0
1784796370.7024574,startup,6,859.0,65536.0,0.0
1784796370.7024574,startup,7,859.0,65536.0,0.0
1784796371.9496894,startup,0,859.0,65536.0,0.0
1784796371.9496894,startup,1,859.0,65536.0,0.0
1784796371.9496894,startup,2,859.0,65536.0,0.0
1784796371.9496894,startup,3,859.0,65536.0,0.0
1784796371.9496894,startup,4,859.0,65536.0,0.0
1784796371.9496894,startup,5,859.0,65536.0,0.0
