timestamp,phase,gpu_index,memory_used_mb,memory_total_mb,utilization_pct
1784803964.1079044,startup,0,858.0,65536.0,0.0
1784803964.1079044,startup,1,858.0,65536.0,0.0
1784803964.1079044,startup,2,858.0,65536.0,0.0
1784803964.1079044,startup,3,858.0,65536.0,0.0
1784803964.1079044,startup,4,858.0,65536.0,0.0
1784803964.1079044,startup,5,858.0,65536.0,0.0
1784803964.1079044,startup,6,858.0,65536.0,0.0
1784803964.1079044,startup,7,858.0,65536.0,0.0
1784803965.393905,startup,0,858.0,65536.0,0.0
1784803965.393905,startup,1,858.0,65536.0,0.0
1784803965.393905,startup,2,858.0,65536.0,0.0
1784803965.393905,startup,3,858.0,65536.0,0.0
1784803965.393905,startup,4,858.0,65536.0,0.0
1784803965.393905,startup,5,858.0,65536.0,0.0
1784803965.393905,startup,6,858.0,65536.0,0.0
1784803965.393905,startup,7,858.0,65536.0,0.0
1784803966.678092,startup,0,858.0,65536.0,0.0
1784803966.678092,startup,1,858.0,65536.0,0.0
1784803966.678092,startup,2,858.0,65536.0,0.0
1784803966.678092,startup,3,858.0,65536.0,0.0
1784803966.678092,startup,4,858.0,65536.0,0.0
1784803966.678092,startup,5,858.0,65536.0,0.0
1784803966.678092,startup,6,858.0,65536.0,0.0
1784803966.678092,startup,7,858.0,65536.0,0.0
1784803967.9267712,startup,0,859.0,65536.0,0.0
1784803967.9267712,startup,1,859.0,65536.0,0.0
1784803967.9267712,startup,2,859.0,65536.0,0.0
1784803967.9267712,startup,3,859.0,65536.0,0.0
1784803967.9267712,startup,4,859.0,65536.0,0.0
1784803967.9267712,startup,5,859.0,65536.0,0.0
1784803967.9267712,startup,6,859.0,65536.0,0.0
1784803967.9267712,startup,7,859.0,65536.0,0.0
1784803969.2104979,startup,0,859.0,65536.0,0.0
1784803969.2104979,startup,1,859.0,65536.0,0.0
1784803969.2104979,startup,2,859.0,65536.0,0.0
1784803969.2104979,startup,3,859.0,65536.0,0.0
1784803969.2104979,startup,4,859.0,65536.0,0.0
1784803969.2104979,startup,5,859.0,65536.0,0.0
1784803969.2104979,startup,6,859.0,65536.0,0.0
1784803969.2104979,startup,7,859.0,65536.0,0.0
1784803970.4947717,startup,0,859.0,65536.0,0.0
1784803970.4947717,startup,1,859.0,65536.0,0.0
1784803970.4947717,startup,2,859.0,65536.0,0.0
1784803970.4947717,startup,3,859.0,65536.0,0.0
1784803970.4947717,startup,4,859.0,65536.0,0.0
1784803970.4947717,startup,5,859.0,65536.0,0.0
1784803970.4947717,startup,6,859.0,65536.0,0.0
1784803970.4947717,startup,7,859.0,65536.0,0.0
1784803971.761093,startup,0,859.0,65536.0,0.0
1784803971.761093,startup,1,859.0,65536.0,0.0
1784803971.761093,startup,2,859.0,65536.0,0.0
1784803971.761093,startup,3,859.0,65536.0,0.0
1784803971.761093,startup,4,859.0,65536.0,0.0
1784803971.761093,startup,5,859.0,65536.0,0.0
1784803971.761093,startup,6,859.0,65536.0,0.0
1784803971.761093,startup,7,859.0,65536.0,0.0
1784803973.0292172,startup,0,859.0,65536.0,0.0
1784803973.0292172,startup,1,859.0,65536.0,0.0
1784803973.0292172,startup,2,859.0,65536.0,0.0
