timestamp,phase,gpu_index,memory_used_mb,memory_total_mb,utilization_pct
1784776709.71127,startup,0,858.0,65536.0,0.0
1784776709.71127,startup,1,858.0,65536.0,0.0
1784776709.71127,startup,2,858.0,65536.0,0.0
1784776709.71127,startup,3,858.0,65536.0,0.0
1784776709.71127,startup,4,858.0,65536.0,0.0
1784776709.71127,startup,5,858.0,65536.0,0.0
1784776709.71127,startup,6,858.0,65536.0,0.0
1784776709.71127,startup,7,858.0,65536.0,0.0
1784776710.9946885,startup,0,858.0,65536.0,0.0
1784776710.9946885,startup,1,858.0,65536.0,0.0
1784776710.9946885,startup,2,858.0,65536.0,0.0
1784776710.9946885,startup,3,858.0,65536.0,0.0
1784776710.9946885,startup,4,858.0,65536.0,0.0
1784776710.9946885,startup,5,858.0,65536.0,0.0
1784776710.9946885,startup,6,858.0,65536.0,0.0
1784776710.9946885,startup,7,858.0,65536.0,0.0
1784776712.2795126,startup,0,858.0,65536.0,0.0
1784776712.2795126,startup,1,858.0,65536.0,0.0
1784776712.2795126,startup,2,858.0,65536.0,0.0
1784776712.2795126,startup,3,858.0,65536.0,0.0
1784776712.2795126,startup,4,858.0,65536.0,0.0
1784776712.2795126,startup,5,858.0,65536.0,0.0
1784776712.2795126,startup,6,859.0,65536.0,0.0
1784776712.2795126,startup,7,859.0,65536.0,0.0
1784776713.5467393,startup,0,859.0,65536.0,0.0
1784776713.5467393,startup,1,859.0,65536.0,0.0
1784776713.5467393,startup,2,859.0,65536.0,0.0
1784776713.5467393,startup,3,859.0,65536.0,0.0
1784776713.5467393,startup,4,859.0,65536.0,0.0
1784776713.5467393,startup,5,859.0,65536.0,0.0
1784776713.5467393,startup,6,859.0,65536.0,0.0
1784776713.5467393,startup,7,859.0,65536.0,0.0
1784776714.8347936,startup,0,859.0,65536.0,0.0
1784776714.8347936,startup,1,859.0,65536.0,0.0
1784776714.8347936,startup,2,859.0,65536.0,0.0
1784776714.8347936,startup,3,859.0,65536.0,0.0
1784776714.8347936,startup,4,859.0,65536.0,0.0
1784776714.8347936,startup,5,859.0,65536.0,0.0
1784776714.8347936,startup,6,859.0,65536.0,0.0
1784776714.8347936,startup,7,859.0,65536.0,0.0
